1103489,LIEB US MODUL 278,607163600,od 120 do 140,LED_U12_55
1103490,LIEB US MODUL 430,607163800,od 190 do 210,LED_U12_56
1103491,LIEB US MODUL 582,607164000,od 250 do 270,LED_U12_57
1103763,LIEB US MODUL 734,607164200,od 380 do 400,LED_U12_58
1103526,LED Modul LINO NW 730 V2,930103801,od 160 do 200,4.5W,4000K
1103523,LED Modul LINO NW 1408 V2,930100701,od 340 do 380,9W,4000K
1103524,LED Modul LINO NW 1758 V2,930100301,od 430 do 470,11W,4000K
1103525,LED Modul LINO NW 2108 V2,930100101,od 520 do 560,13W,4000K
1103527,LED Modul LINO CW 730 V2,930107300,od 160 do 200,4.5W,5000K
1103528,LED Modul LINO CW 1408 V2,930107500,od 340 do 380,9W,5000K
1103529,LED Modul LINO CW 1758 V2,930107900,od 430 do 470,11W,5000K
1103530,LED Modul LINO CW 2108 V2,930108100,od 520 do 560,13W,5000K
1103717,LED Modul LINO UCW 730 V1,930110600,od 160 do 200,4.5W,6500K
1103826,LED Modul LINO UCW 1408 V1,930110800,od 340 do 380,9W,6500K
1103718,LED Modul LINO UCW 2108 V1,930110200,od 520 do 560,13W,6500K
1103719,LED Modul LINO RW 730 V1,930110700,od 160 do 200,4.5W,meat
1103827,LED Modul LINO RW 1408 V1,930110900,od 340 do 380,9W,meat
1103720,LED Modul LINO RW 2108 V1,930110300,od 520 do 560,13W,meat
1103533,LED Modul NW 697/6-b,930159101,od 160 do 200,LED_U24_89,607153301
1103532,LED Modul NW 846/8-b,930160701,od 210 do 250,LED_U24_87,607157101
1103531,LED Modul NW 1047/10-b,930159301,od 270 do 310,LED_U24_88,607153501
1103536,LED Modul CW 697/6-b,930108600,od 160 do 200,LED_U24_92,607125900
1103535,LED Modul CW 846/8-b,930108700,od 210 do 250,LED_U24_91,607126100
1103534,LED Modul CW 1047/10-b,930108800,od 270 do 310,LED_U24_90,607127700
1103721,LED Modul UCW 697/6-b,930109300,od 160 do 200,LED_U24_92,607132300
1103722,LED Modul UCW 1047/10-b,930109000,od 270 do 310,LED_U24_90,607127800
1103723,LED Modul RW 697/6-b,930110000,od 160 do 200,LED_U24_01,607145500
1103724,LED Modul RW 1047/10-b,930109200,od 270 do 310,LED_U24_02,607128100
