CW SAT 2382/22-c,820 do 960,304695
CW SAT 1982/18-c,680 do 800,304694
CW SAT 1632/16-c,580 do 660,304693
CW SAT 1632/16-c,580 do 660,304693
CW SAT 1600/15-c,580 do 660,304692
CW SAT 1482/14-c,500 do 580,304691
CW SAT 1388/13-c,460 do 540,304690
CW SAT 1332/12-c,440 do 500,304689
CW SAT 1258/12-c,430 do 500,304688
CW SAT 850/8-c,280 do 340,304687
CW SAT 750/7-c,250 do 290,304686
CW SAT 2181/19-c,780 do 860,304787
CW SAT 1888/18-c,640 do 750,304789
CW SAT 1988/18-c,680 do 800,321542
CW SAT 985/10-c,320 do 370,344959
CW SAT 1050/10-c,370 do 430,326279
CW CLR 2382/22-c,820 do 960,327035
CW CLR 1982/18-c,680 do 800,326735
CW CLR 1600/15-c,580 do 660,330661
CW CLR 1482/14-c,500 do 580,330662
NW SAT 2382/22-c,820 do 960,304704
NW SAT 1982/18-c,680 do 800,304703
NW SAT 1632/16-c,580 do 660,304702
NW SAT 1600/15-c,580 do 660,304701
NW SAT 1482/14-c,500 do 580,304700
NW SAT 1388/13-c,460 do 540,304699
NW SAT 1332/12-c,440 do 500,304698
NW SAT 1258/12-c,430 do 500,304697
NW SAT 850/8-c,280 do 340,304696
NW SAT 1888/18-c,640 do 750,331714
NW SAT 985/10-c,320 do 370,344963
UCW SAT 2382/22-c,820 do 960,326479
UCW SAT 1982/18-c,680 do 800,326477
UCW SAT 1632/16-c,580 do 660,326475
UCW SAT 1600/15-c,580 do 660,326474
UCW SAT 1482/14-c,500 do 580,326473
UCW SAT 1388/13-c,460 do 540,326472
UCW SAT 1332/12-c,440 do 500,326471
UCW SAT 1258/12-c,430 do 500,326470
UCW SAT 850/8-c,280 do 340,326469
UCW SAT 750/7-c,250 do 290,326468
UCW SAT 2181/19-c,780 do 860,326478
UCW SAT 1888/18-c,640 do 750,326476
WW SAT 1982/18-c,680 do 800,355487
WW SAT 1632/16-c,580 do 660,355484
WW SAT 1600/15-c,580 do 660,355486
WW SAT 1482/14-c,500 do 580,355485
CW RED 2382/22-c,820 do 960,313227
CW RED 1982/18-c,680 do 800,313207
CW RED 1632/16-c,580 do 660,353223
CW RED 1600/15-c,580 do 660,344464
CW RED 1482/14-c,500 do 580,313206
CW RED 1388/13-c,460 do 540,346436
CW RED 1332/12-c,440 do 500,333831
CW RED 1258/12-c,430 do 500,313205
CW RED 2181/19-c,780 do 860,321340
CW RED 1888/18-c,640 do 750,321355
RW SAT 2382/22-c,820 do 960,361893
RW SAT 1982/18-c,680 do 800,361894
CW SAT 1975/18-c,700 do 780,380107
RW SAT 1600/15-c,580 do 660,361896
CW SAT 940/10-c,330 do 390,380108
RW SAT 1482/14-c,500 do 580,361895
RW SAT 1388/13-c,460 do 540,361898
RW SAT 985/10-c,320 do 370,361897
NW SAT 940/10-c,330 do 390,370391
RW SAT 1258/12-c,430 do 500,373833
NW SAT 1975/18-c,700 do 780,370389
NW/RW SAT 1632/16-c,580 do 660,371672
CW/RW SAT 1975/18-c,700 do 780,370342
CW/RW SAT 1632/16-c,580 do 660,389763
NW/RW SAT 1482/14-c,500 do 580,355180
CW/RW SAT 940/10-c,330 do 390,369974
NW/RW SAT 1388/13-c,460 do 540,380114
NW/RW SAT 1258/12-c,430 do 500,380116
NW/RW SAT 2382/22-c,820 do 960,355198
NW/RW SAT 1982/18-c,680 do 800,367954
NW/RW SAT 1600/15-c,580 do 660,355191
NW/RW SAT 1332/12-c,440 do 500,380115
NW/RW SAT 850/8-c,280 do 340,380120
NW/RW SAT 750/7-c,250 do 290,380121
NW/RW SAT 1888/18-c,640 do 750,380122
NW/RW SAT 985/10-c,320 do 370,380117
NW/RW SAT 1975/18-c,700 do 780,380118
NW/RW SAT 940/10-c,330 do 390,380119
CW/RW SAT 2382/22-c,820 do 960,370003
CW/RW SAT 1982/18-c,680 do 800,370006
RW SAT 1632/16-c,580 do 660,389606
RW SAT 1332/12-c,440 do 500,356243
CW SAT 2382/22-c,820 do 960,604695
CW SAT 1982/18-c,680 do 800,604694
CW SAT 1482/14-c,500 do 580,604691
CW SAT 1725/18-c,200 do 300,370767
CW SAT 815/8-c,200 do 300,370763
RW SAT 815/8-c,250 do 290,384351
RW SAT 1725/18-c,570 do 670,384352
NW SAT 2382/15-d,575 do 640,415594
NW SAT 1982/12-d,475 do 520,415595
NW SAT 1600/10-d,370 do 420,415596
NW SAT 1482/9-d,345 do 400,415597
